"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","TRADEGOOD","EXP","PC_CHGPP","A","2018",8.319954,
"SWE","TRADEGOOD","EXP","PC_CHGPP","A","2019",-3.118059,
"SWE","TRADEGOOD","EXP","PC_CHGPP","A","2020",-3.698627,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2008",15.79128,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2009",-12.5052,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2010",11.56634,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2011",20.41237,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2012",-4.574861,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2013",1.530139,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2014",4.977876,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2015",-7.46509,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2016",1.455147,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2017",5.01634,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2018",6.114281,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2019",2.226049,
"CHE","TRADEGOOD","EXP","PC_CHGPP","A","2020",-1.679144,
"TUR","TRADEGOOD","EXP","PC_CHGPP","A","2008",22.85126,
"TUR","TRADEGOOD","EXP","PC_CHGPP","A","2009",-22.89115,
